StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken,Pass
8001.0,Brian Miles,Male,88.0,17.0,,2.0,Low,,1.6,76.0,True,0
6.0,Olivia,Female,95.0,30.0,88.0,1.0,High,,2.8,97.0,False,0
5803.0,Molly Jones,Female,82.0,10.0,77.0,1.0,Medium,78.0,3.7,51.0,False,1
1893.0,Lori Carrillo,Male,85.0,17.0,85.0,2.0,High,68.0,3.9,94.0,True,1
9460.0,Lawrence Miller,Female,95.0,30.0,77.0,1.0,Low,80.0,2.5,,False,1
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
3580.0,Ryan Vasquez,,90.0,15.0,86.0,2.0,Low,87.0,,72.0,False,1
4784.0,Christina Russo,Female,92.0,25.0,70.0,3.0,Low,68.0,2.8,85.0,False,1
3561.0,Kevin Wilson,Male,78.0,8.0,70.0,2.0,Low,68.0,1.5,100.0,False,1
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,0
1310.0,Elizabeth Nichols,Female,92.0,25.0,86.0,1.0,High,,3.0,75.0,True,0
1440.0,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,,0.7,69.0,True,0
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
3859.0,Scott Edwards,Male,91.0,10.0,77.0,3.0,High,85.0,1.7,50.0,,1
5528.0,David Diaz,Male,92.0,20.0,65.0,1.0,Medium,,0.8,52.0,True,0
6.0,Olivia,Female,95.0,30.0,88.0,1.0,High,,2.8,97.0,False,0
7064.0,Paige Turner,Male,91.0,8.0,77.0,0.0,Medium,,4.0,82.0,False,0
1474.0,Alison Lang,Male,95.0,15.0,82.0,1.0,Medium,62.0,0.7,83.0,False,1
2099.0,Christina Thompson,Male,90.0,20.0,60.0,2.0,Low,90.0,4.1,85.0,True,1
9202.0,Charles Pearson,Female,91.0,18.0,60.0,2.0,High,,3.9,72.0,True,0
3879.0,Allison Novak,Female,91.0,17.0,85.0,2.0,Medium,88.0,4.3,85.0,False,1
6562.0,Amy Rodriguez,Male,95.0,10.0,85.0,2.0,Low,,2.7,62.0,False,0
8424.0,Mallory Fletcher,Female,92.0,22.0,86.0,2.0,Low,92.0,1.8,68.0,True,1
2741.0,Kendra Ramirez,Male,78.0,17.0,65.0,0.0,High,85.0,3.1,62.0,True,1
5631.0,Barry Jenkins,Female,90.0,17.0,85.0,1.0,Medium,90.0,4.3,,False,1
7188.0,Sarah Dixon,Male,85.0,17.0,60.0,2.0,Low,62.0,3.8,,False,1
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
1440.0,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,,0.7,69.0,True,0
3735.0,,Female,78.0,18.0,78.0,3.0,High,,3.7,75.0,False,0
6562.0,Amy Rodriguez,Male,95.0,10.0,85.0,2.0,Low,,2.7,62.0,False,0
3134.0,Miss Carla Coleman MD,Female,95.0,30.0,86.0,2.0,Low,90.0,1.2,67.0,True,1
2670.0,Bernard Whitaker,Male,70.0,8.0,65.0,1.0,High,90.0,4.9,61.0,True,1
3735.0,,Female,78.0,18.0,78.0,3.0,High,,3.7,75.0,False,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
1470.0,Michelle Jones,Female,95.0,10.0,77.0,3.0,Medium,85.0,-5.0,200.0,False,1
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
1798.0,Karen Cruz,Female,88.0,12.0,85.0,2.0,High,68.0,3.8,88.0,True,1
